총 48개 trace replay 시작

[시작 전 prefix cache hits]
  hits: 0.0


  Turn 18: TTFT = 28.6 ms, hit rate = 68.7%
  Turn 19: TTFT = 30.3 ms, hit rate = 68.7%
  Turn 20: TTFT = 30.7 ms, hit rate = 68.7%
  Turn 21: TTFT = 31.0 ms, hit rate = 68.7%
  Turn 22: TTFT = 32.5 ms, hit rate = 68.7%
  Turn 23: TTFT = 31.5 ms, hit rate = 68.7%
  Turn 24: TTFT = 31.9 ms, hit rate = 68.7%
  Turn 25: TTFT = 33.0 ms, hit rate = 68.7%
  Turn 26: TTFT = 34.3 ms, hit rate = 68.7%
  Turn 27: TTFT = 34.8 ms, hit rate = 68.7%
  Turn 28: TTFT = 34.4 ms, hit rate = 68.7%
  세션 평균 TTFT: 26.8 ms, 최종 hit rate = 68.7%

====== matplotlib__matplotlib-23913_run0 (36턴) ======
  Turn 1: TTFT = 19.2 ms, hit rate = 70.0%
  Turn 2: TTFT = 51.7 ms, hit rate = 66.8%
  Turn 3: TTFT = 16.4 ms, hit rate = 66.8%
  Turn 4: TTFT = 15.7 ms, hit rate = 66.8%
  Turn 5: TTFT = 22.5 ms, hit rate = 66.8%
  Turn 6: TTFT = 22.4 ms, hit rate = 66.8%
  Turn 7: TTFT = 22.3 ms, hit rate = 66.8%
  Turn 8: TTFT = 23.9 ms, hit rate = 66.8%
  Turn 9: TTFT = 25.9 ms, hit rate = 66.8%
  Turn 10: TTFT = 26.7 ms, hit rate = 66.8%
  Turn 11: TTFT = 26.0 ms, hit rate = 66.8%
  Turn 12: TTFT = 27.3 ms, hit rate = 66.8%
  Turn 13: TTFT = 29.0 ms, hit rate = 66.8%
  Turn 14: TTFT = 29.0 ms, hit rate = 66.8%
  Turn 15: TTFT = 28.9 ms, hit rate = 66.8%
  Turn 16: TTFT = 28.7 ms, hit rate = 66.8%
  Turn 17: TTFT = 29.8 ms, hit rate = 66.8%
  Turn 18: TTFT = 31.2 ms, hit rate = 66.8%
  Turn 19: TTFT = 31.9 ms, hit rate = 66.8%
  Turn 20: TTFT = 31.9 ms, hit rate = 66.8%
  Turn 21: TTFT = 33.7 ms, hit rate = 66.8%
  Turn 22: TTFT = 34.1 ms, hit rate = 66.8%
  Turn 23: TTFT = 36.4 ms, hit rate = 66.8%
  Turn 24: TTFT = 38.4 ms, hit rate = 66.8%
  Turn 25: TTFT = 38.1 ms, hit rate = 66.8%
  Turn 26: TTFT = 39.3 ms, hit rate = 66.8%
  Turn 27: TTFT = 40.3 ms, hit rate = 66.8%
  Turn 28: TTFT = 42.5 ms, hit rate = 66.8%
  Turn 29: TTFT = 43.0 ms, hit rate = 66.8%
  Turn 30: TTFT = 40.6 ms, hit rate = 66.8%
  Turn 31: TTFT = 40.7 ms, hit rate = 66.8%
  Turn 32: TTFT = 41.8 ms, hit rate = 66.8%
  Turn 33: TTFT = 42.0 ms, hit rate = 66.8%
  Turn 34: TTFT = 42.4 ms, hit rate = 66.8%
  Turn 35: TTFT = 43.0 ms, hit rate = 66.8%
  Turn 36: TTFT = 43.3 ms, hit rate = 66.8%
  세션 평균 TTFT: 32.8 ms, 최종 hit rate = 66.8%

====== matplotlib__matplotlib-23913_run1 (40턴) ======
